ID,locx,locy
GG1,206,105
GG1,206,106
GG1,207,105
GG1,208,105
GG1,207,106
GG1,206,107
GG1,206,108
GG1,205,108
GG1,204,108
GG1,203,109
GG1,202,110
GG1,202,111
GG1,201,111
GG1,200,112
GG1,199,113
GG1,200,113
GG1,201,112
GG1,201,113
GG1,201,114
GG1,201,115
GG1,201,116
GG1,201,117
GG1,201,118
GG1,201,119
GG1,201,120
GG1,200,120
GG1,200,121
GG1,200,122
GG1,199,123
GG1,200,123
GG1,199,124
GG1,199,125
GG1,199,126
GG1,199,127
GG1,199,128
GG1,198,128
GG1,198,129
GG1,199,129
GG1,198,130
GG1,198,131
GG1,198,132
GG1,197,132
GG1,197,133
GG1,196,132
GG1,195,131
GG1,194,131
GG1,194,130
GG1,193,130
GG1,192,129
GG1,192,128
GG1,191,128
GG1,190,128
GG1,189,127
GG1,188,126
GG1,187,126
GG1,186,125
GG1,186,126
GG1,185,125
GG1,184,125
GG1,184,124
GG1,183,123
GG1,182,123
GG1,182,122
GG1,181,122
GG1,180,122
GG1,180,121
GG1,179,120
GG1,178,120
GG1,179,121
GG1,179,122
GG1,179,123
GG1,178,124
GG1,178,123
GG1,177,124
GG1,177,125
GG1,176,126
GG1,176,125
GG1,175,126
GG1,174,127
GG1,174,128
GG1,175,127
GG2,150,110
GG2,149,111
GG2,150,111
GG2,151,111
GG2,152,111
GG2,153,111
GG2,154,111
GG2,155,111
GG2,156,111
GG2,157,111
GG2,158,111
GG2,159,112
GG2,159,111
GG2,158,112
GG2,158,113
GG2,158,114
GG2,158,115
GG2,158,116
GG2,157,117
GG2,156,117
GG2,156,118
GG2,155,119
GG2,155,120
GG2,155,121
GG2,155,122
GG2,155,123
GG2,154,124
GG2,155,124
GG2,155,125
GG2,154,125
GG2,155,126
GG2,154,127
GG2,154,126
GG3,103,169
GG3,104,170
GG3,104,169
GG3,104,168
GG3,105,167
GG3,105,166
GG3,106,165
GG3,105,165
GG3,106,164
GG3,107,163
GG3,108,162
GG3,109,161
GG3,108,161
GG3,109,160
GG3,109,159
GG3,109,158
GG3,109,157
GG3,109,156
GG3,109,155
GG3,109,154
GG3,109,153
GG3,109,152
GG3,110,151
GG3,109,151
GG3,108,150
GG3,109,150
GG3,109,149
GG3,110,150
GG3,111,151
GG3,112,151
GG3,113,151
GG3,114,151
GG3,115,151
GG3,116,152
GG3,116,151
GG3,115,152
GG3,114,152
GG3,114,153
GG4,104,115
GG4,105,114
GG4,104,114
GG4,103,114
GG4,103,113
GG4,102,113
GG4,101,113
GG4,100,113
GG4,99,113
GG4,98,113
GG4,97,113
GG4,96,113
GG4,96,112
GG4,95,112
GG4,94,112
GG4,93,112
GG4,92,112
GG4,91,112
GG4,90,112
GG4,90,111
GG4,89,111
GG4,88,111
GG4,87,111
GG4,86,111
GG4,85,111
GG4,84,111
GG4,83,110
GG4,82,110
GG4,81,110
GG4,81,109
GG4,80,109
GG4,79,108
GG4,79,107
GG4,80,106
GG4,81,105
GG4,81,106
GG4,82,105
GG4,82,104
GG4,83,104
GG4,83,103
GG4,84,103
GG4,85,102
GG4,86,101
GG4,87,100
GG4,88,100
GG4,87,101
GG5,151,189
GG5,150,188
GG5,150,189
GG5,149,189
GG5,148,189
GG5,147,189
GG5,146,189
GG5,145,189
GG5,144,189
GG5,143,188
GG5,142,188
GG5,141,188
GG5,140,189
GG5,140,188
GG5,139,189
GG5,138,190
GG5,137,191
GG5,136,191
GG5,135,192
GG5,135,191
GG5,134,192
GG5,133,192
GG5,132,193
GG5,131,193
GG5,130,193
GG5,129,193
GG5,129,192
GG5,128,191
GG5,128,190
GG5,127,191
GG5,126,190
GG5,127,190
GG5,126,189
GG5,125,189
GG5,124,189
GG5,123,189
GG5,123,188
GG5,122,188
GG5,121,188
GG5,120,187
GG5,119,186
GG5,118,186
GG5,117,185
GG5,118,185
GG6,166,112
GG6,166,111
GG6,165,111
GG6,164,111
GG6,163,111
GG6,162,111
GG6,161,111
GG6,160,111
GG6,159,112
GG6,158,111
GG6,158,112
GG6,157,111
GG6,156,111
GG6,155,111
GG6,154,111
GG6,153,111
GG6,152,111
GG6,151,111
GG6,150,111
GG6,149,111
GG6,148,111
GG6,147,111
GG6,146,111
GG6,145,111
GG6,144,110
GG6,143,110
GG6,142,110
GG6,141,110
GG6,140,109
GG6,140,110
GG6,141,111
GG6,140,111
GG6,139,111
GG6,138,111
GG6,137,111
GG6,136,111
GG6,135,111
GG6,134,111
GG6,133,111
GG6,132,111
GG6,131,111
GG6,130,111
GG6,129,111
GG6,128,111
GG6,127,111
GG6,126,111
GG6,125,111
GG6,125,112
GG6,124,112
GG6,123,112
GG6,122,113
GG6,121,113
GG6,122,112
GG7,154,73
GG7,153,72
GG7,152,73
GG7,151,73
GG7,150,74
GG7,150,73
GG7,149,74
GG7,150,75
GG7,149,75
GG7,150,76
GG7,150,77
GG7,150,78
GG7,151,79
GG7,150,79
GG7,151,80
GG7,150,80
GG7,151,81
GG7,152,82
GG7,152,81
GG7,153,82
GG7,153,83
GG7,154,83
GG7,155,84
GG7,156,85
GG7,156,86
GG7,157,86
GG7,158,87
GG7,158,86
GG7,159,87
GG7,159,88
GG7,160,88
GG7,161,88
GG7,160,87
GG8,66,157
GG8,65,158
GG8,64,159
GG8,65,159
GG8,64,160
GG8,64,161
GG8,64,162
GG8,64,163
GG8,64,164
GG8,64,165
GG8,65,166
GG8,65,167
GG8,66,168
GG8,66,169
GG8,65,170
GG8,66,170
GG8,65,171
GG8,65,172
GG8,65,173
GG8,65,174
GG8,65,175
GG8,65,176
GG8,64,177
GG8,65,178
GG8,66,178
GG8,65,179
GG8,64,178
GG8,63,178
GG8,62,178
GG8,61,179
GG8,61,180
GG8,60,179
GG8,59,179
GG8,60,180
GG8,61,181
GG8,62,181
GG8,63,182
GG8,62,182
GG8,63,181
GG8,64,182
GG8,65,181
GG8,66,181
GG8,67,181
GG8,68,181
GG8,69,180
GG8,69,181
GG8,70,180
GG8,71,181
GG8,71,180
GG8,72,181
GG8,73,181
GG8,74,181
GG8,75,181
GG8,76,181
GG8,77,181
GG8,78,180
GG8,79,180
GG8,80,180
GG8,81,180
GG8,81,181
GG8,82,181
GG8,83,181
GG8,84,181
GG8,85,181
GG8,86,180
GG8,85,180
GG8,84,180
GG9,63,115
GG9,62,116
GG9,62,115
GG9,61,116
GG9,60,117
GG9,60,116
GG9,59,117
GG9,58,118
GG9,59,118
GG9,58,119
GG9,57,119
GG9,56,120
GG9,57,120
GG9,56,121
GG9,56,122
GG9,55,122
GG9,55,123
GG9,55,124
GG9,55,125
GG9,54,126
GG9,53,127
GG9,52,127
GG9,53,128
GG9,53,129
GG9,52,129
GG9,53,130
GG9,52,130
GG9,52,131
GG9,52,132
GG9,52,133
GG9,52,134
GG9,52,135
GG9,51,135
GG9,51,136
GG9,52,137
GG9,51,137
GG9,51,138
GG9,50,137
GG9,49,137
GG9,48,136
GG9,47,137
GG9,48,137
GG9,47,136
GG9,46,137
GG9,45,137
GG9,44,136
GG9,43,135
GG9,42,135
GG9,42,134
GG9,41,134
GG9,41,133
GG9,41,132
GG9,42,131
GG9,43,131
GG9,42,132
GG9,42,133
GG10,103,169
GG10,104,170
GG10,104,171
GG10,104,172
GG10,104,173
GG10,104,174
GG10,104,175
GG10,103,175
GG10,103,176
GG10,103,177
GG10,103,178
GG10,103,179
GG10,103,180
GG10,103,181
GG10,102,182
GG10,101,181
GG10,100,181
GG10,101,182
GG10,100,182
GG10,99,182
GG10,98,182
GG10,97,182
GG10,98,181
GG10,97,180
GG10,96,180
GG10,95,179
GG10,94,179
GG10,95,180
GG10,94,181
GG10,93,181
GG10,92,181
GG10,91,181
GG10,90,181
GG10,89,181
GG10,88,181
GG10,87,180
GG10,87,181
GG10,86,180
GG10,85,181
GG10,84,181
GG10,85,180
GG10,84,180
GG10,83,181
GG10,82,181
GG10,81,181
GG10,80,180
