traj_id,time,locx,locy,mode
GSD1,4.187797445459102,289,151,GSD
GSD1,8.667682535349996,287,152,GSD
GSD1,14.746025170163115,281,151,GSD
GSD1,19.47332997454223,278,151,GSD
GSD1,24.026217217652277,274,150,GSD
GSD1,27.443191527440245,271,149,GSD
GSD1,32.979656858921324,270,153,GSD
GSD1,35.31068940051297,270,156,GSD
GSD1,40.03925536528946,270,159,GSD
GSD1,45.35714633379082,270,164,GSD
GSD1,50.81615727391973,270,169,GSD
GSD1,56.540341030294975,270,171,GSD
GSD2,3.92260142230377,132,168,GSD
GSD2,8.628865316876041,132,163,GSD
GSD2,14.187208615210007,135,162,GSD
GSD2,19.861287182371832,138,161,GSD
GSD2,24.631608171058126,140,158,GSD
GSD2,30.628582707688913,140,155,GSD
GSD2,34.862226116612085,144,153,GSD
GSD2,40.69683245498444,146,151,GSD
GSD2,45.74355873372397,151,149,GSD
GSD2,51.63825328933563,153,145,GSD
GSD2,55.182674013105014,155,145,GSD
GSD2,59.37324675264789,158,145,GSD
GSD2,65.49501283799192,164,143,GSD
GSD2,71.07498915542156,167,144,GSD
GSD2,76.6713575190563,172,143,GSD
GSD2,81.8110908646301,176,142,GSD
GSD2,86.57925701719805,180,141,GSD
GSD2,93.00935037862791,186,141,GSD
GSD2,97.5669257604186,184,141,GSD
GSD3,6.06794996458451,141,268,GSD
GSD3,11.41461153243844,137,268,GSD
GSD3,14.564913519625957,135,268,GSD
GSD3,21.013546771968475,130,266,GSD
GSD3,26.44988984221831,126,266,GSD
GSD3,31.779690798193055,123,266,GSD
GSD3,36.56345617004378,122,263,GSD
GSD3,43.19819486949461,122,263,GSD
GSD4,6.409299658940581,61,135,GSD
GSD4,13.286207877696365,65,135,GSD
GSD4,18.411761282591062,70,134,GSD
GSD4,24.144420212591978,74,134,GSD
GSD4,31.446055152851937,81,135,GSD
GSD4,36.659576609320936,85,134,GSD
GSD4,42.90071484971965,88,131,GSD
GSD4,48.19578002543705,90,125,GSD
GSD4,54.58113131752387,90,122,GSD
GSD4,60.00789512582989,94,117,GSD
GSD4,65.17050055479623,92,118,GSD
GSD5,3.4961387757971845,98,277,GSD
GSD5,7.104865951449785,99,275,GSD
GSD5,11.307235324209625,99,272,GSD
GSD5,14.6856615565139,101,270,GSD
GSD5,19.657070613021922,102,267,GSD
GSD5,25.600176177524876,103,264,GSD
GSD5,30.77519593925303,104,259,GSD
GSD5,36.04115671053427,105,254,GSD
GSD5,42.10186397424285,106,248,GSD
GSD5,45.91949273368382,108,245,GSD
GSD5,50.90123625965201,109,242,GSD
GSD5,56.94716599768488,110,238,GSD
GSD5,62.50670843966688,111,233,GSD
GSD5,67.57250927851325,112,229,GSD
GSD5,72.01858695529737,112,224,GSD
GSD5,77.73035271889422,111,219,GSD
GSD5,80.99780918446743,111,216,GSD
GSD5,86.6914419398055,111,216,GSD
GSD6,2.998005161456502,82,134,GSD
GSD6,7.9830769361608045,85,133,GSD
GSD6,11.786717087592798,86,130,GSD
GSD6,17.29329679279163,88,128,GSD
GSD6,21.282929065892237,90,127,GSD
GSD6,27.418224829395026,92,120,GSD
GSD6,29.251159731328755,90,120,GSD
GSD6,34.69853775700989,94,115,GSD
GSD6,40.49515530246432,96,112,GSD
GSD6,47.10396839581595,96,107,GSD
GSD6,51.36583652133109,96,104,GSD
GSD6,56.42879193892164,97,99,GSD
GSD6,61.33567259782031,100,94,GSD
GSD6,64.7064557045984,98,95,GSD
GSD7,5.928004785346982,131,160,GSD
GSD7,9.34369200952833,129,159,GSD
GSD7,15.490735362205026,128,153,GSD
GSD7,20.34431963848273,127,151,GSD
GSD7,26.97281931290458,127,146,GSD
GSD7,33.752637353576375,127,146,GSD
GSD8,3.810734653825671,138,269,GSD
GSD8,10.146095924396139,134,267,GSD
GSD8,15.790602832030189,130,267,GSD
GSD8,20.91459385073098,125,265,GSD
GSD8,24.174212923237633,123,265,GSD
GSD8,29.632974842680255,120,264,GSD
GSD8,35.60322986040217,119,263,GSD
GSD9,4.005417023532807,279,118,GSD
GSD9,8.66638448807359,282,116,GSD
GSD9,12.100667938388764,283,115,GSD
GSD9,17.140003055594082,285,111,GSD
GSD9,21.353286049008965,287,109,GSD
GSD9,27.243496686981164,289,106,GSD
GSD9,31.786281494901985,292,103,GSD
GSD9,36.64720613796888,294,105,GSD
GSD9,41.764775386871946,295,105,GSD
GSD10,6.468002809801234,123,162,GSD
GSD10,11.310194749104378,126,163,GSD
GSD10,15.618546893699214,129,162,GSD
GSD10,18.94119924483006,132,162,GSD
GSD10,24.41511988971208,132,166,GSD
GSD10,28.461163562771496,133,164,GSD
GSD11,2.7232650350530423,248,124,GSD
GSD11,7.972673507737243,248,121,GSD
GSD11,12.055051806610468,250,119,GSD
GSD11,17.715455789814634,251,116,GSD
GSD11,23.20458601264992,254,112,GSD
GSD11,28.16813114116243,254,112,GSD
GSD11,32.251144346412595,255,112,GSD
GSD12,5.0938056122552675,247,122,GSD
GSD12,10.74422072088553,245,122,GSD
GSD12,15.948773175605211,247,121,GSD
GSD12,20.098156327498025,249,119,GSD
GSD12,26.386628163809043,251,115,GSD
GSD12,30.52072051889377,252,112,GSD
GSD12,33.94069121544801,255,112,GSD
GSD12,39.019725906673074,253,111,GSD
GSD13,4.381259610055045,160,144,GSD
GSD13,10.014489152443367,164,144,GSD
GSD13,15.554124398114737,169,143,GSD
GSD13,20.271217470194394,172,144,GSD
GSD13,26.560349016036206,177,141,GSD
GSD13,32.94301692330654,181,140,GSD
GSD13,39.15512233754578,188,142,GSD
GSD13,45.04392751325623,190,139,GSD
GSD13,50.363193163800474,189,138,GSD
GSD14,4.672153735478487,266,110,GSD
GSD14,10.57147808541004,263,113,GSD
GSD14,15.273562193002256,260,113,GSD
GSD14,20.18012105986636,257,113,GSD
GSD14,25.876512625781476,255,112,GSD
GSD14,28.82767215540102,255,112,GSD
GSD15,5.401063818394353,68,178,GSD
GSD15,9.544119629879184,72,177,GSD
GSD15,14.245884854111775,76,175,GSD
GSD15,20.16920816476278,81,176,GSD
GSD15,25.521795500885123,85,176,GSD
GSD15,31.022299307742117,90,176,GSD
GSD15,36.084092179116375,94,179,GSD
GSD15,41.74762126021284,93,177,GSD
GSD16,3.6410110923691192,153,185,GSD
GSD16,8.81861107022766,150,185,GSD
GSD16,14.115348177902929,149,185,GSD
GSD16,19.795821654298646,145,186,GSD
GSD16,23.660028415265963,142,186,GSD
GSD16,30.8356099020326,137,185,GSD
GSD16,35.58814275225012,132,186,GSD
GSD16,41.05496374178733,129,187,GSD
GSD16,44.81438201910271,126,188,GSD
GSD16,51.02870256927067,123,190,GSD
GSD16,56.23164040941609,120,190,GSD
GSD16,61.539967459231676,115,190,GSD
GSD16,67.11420681974964,112,186,GSD
GSD16,72.51290242743914,108,183,GSD
GSD16,76.97667643615944,105,182,GSD
GSD16,81.81056612708362,101,183,GSD
GSD16,87.19343143783199,99,180,GSD
GSD16,92.40931306113144,97,180,GSD
GSD16,97.8105445038915,94,178,GSD
GSD16,104.27082293002304,88,176,GSD
GSD16,109.65995218248554,83,176,GSD
GSD16,115.59130252757191,79,176,GSD
GSD16,122.03905574865993,77,177,GSD
GSD17,5.0811442593262415,239,51,GSD
GSD17,10.299599677513307,238,44,GSD
GSD17,14.90221664340498,239,45,GSD
GSD17,19.498991385568647,243,44,GSD
GSD17,23.901098650642204,247,44,GSD
GSD17,28.92748146003497,252,46,GSD
GSD17,34.95172673738025,257,47,GSD
GSD17,40.48385097922618,261,47,GSD
GSD17,45.95930504748187,262,48,GSD
GSD18,5.496712658767154,148,150,GSD
GSD18,10.13733781553688,145,152,GSD
GSD18,15.197952692758074,142,156,GSD
GSD18,20.91552665202795,139,158,GSD
GSD18,25.445738978630438,139,160,GSD
GSD18,30.71282821951247,140,163,GSD
GSD18,34.22588751087507,143,165,GSD
GSD18,39.26242313968019,143,169,GSD
GSD18,45.44947326395872,143,172,GSD
GSD19,6.606922379490347,55,159,GSD
GSD19,9.200219366862115,56,157,GSD
GSD19,14.397687888117101,57,154,GSD
GSD19,18.654056396168727,58,151,GSD
GSD19,23.91970692654863,61,155,GSD
GSD19,29.404777131171528,60,154,GSD
GSD20,4.785592906974689,227,139,GSD
GSD20,9.967125069326723,231,140,GSD
GSD20,14.452182282978999,232,136,GSD
GSD20,18.898403780673565,231,132,GSD
GSD20,22.838923809092776,232,130,GSD
GSD20,28.21184796818596,232,126,GSD
GSD20,33.454696025504795,234,125,GSD
GSD20,40.13419396613379,240,124,GSD
GSD20,45.625001780042076,243,124,GSD
GSD20,49.491577783997144,246,122,GSD
GSD20,56.21467282221668,249,118,GSD
GSD20,62.34575469784116,250,113,GSD
GSD20,68.61333388398481,252,112,GSD
GSD21,4.594313768356032,194,140,GSD
GSD21,9.9265573663219,196,142,GSD
GSD21,14.340292120216661,198,145,GSD
GSD21,20.729188753933975,202,146,GSD
GSD21,25.516274560518827,204,146,GSD
GSD21,30.34158840622825,204,145,GSD
GSD22,4.355249197185473,322,142,GSD
GSD22,9.68042823753005,325,140,GSD
GSD22,14.744544447735796,329,141,GSD
GSD22,20.107194196230374,334,140,GSD
GSD22,24.59554296228663,337,137,GSD
GSD22,29.379422679944202,337,139,GSD
GSD23,4.5917279913954365,216,213,GSD
GSD23,9.743997860156682,221,214,GSD
GSD23,15.078530501971647,225,214,GSD
GSD23,20.033961890749374,227,214,GSD
GSD23,25.619797311639328,231,216,GSD
GSD23,30.23110939465043,232,217,GSD
GSD24,3.478983147190603,292,206,GSD
GSD24,9.044278539824948,295,202,GSD
GSD24,13.926163460690042,295,199,GSD
GSD24,19.230164648593558,295,193,GSD
GSD24,25.74032745800065,294,187,GSD
GSD24,31.149140500185585,293,183,GSD
GSD24,36.99408682439387,296,178,GSD
GSD24,41.01852265183685,297,177,GSD
GSD24,47.694653504095214,296,177,GSD
GSD25,4.044604037069993,311,147,GSD
GSD25,9.014855937521514,308,147,GSD
GSD25,12.55356324943906,304,148,GSD
GSD25,16.252402660445888,303,145,GSD
GSD25,22.35879028713826,298,149,GSD
GSD25,26.24472861302018,295,147,GSD
GSD25,32.00215906597105,291,148,GSD
GSD25,38.46233978317741,289,148,GSD
GSD26,7.089338529603621,277,121,GSD
GSD26,11.035081024003162,279,119,GSD
GSD26,16.7186284366732,282,115,GSD
GSD26,22.020052614658233,285,112,GSD
GSD26,27.224329504289322,288,108,GSD
GSD26,30.124712323268263,291,106,GSD
GSD26,33.54790880756355,290,106,GSD
GSD27,5.802751075965608,100,93,GSD
GSD27,12.658726868697661,98,96,GSD
GSD27,18.90011828980502,97,102,GSD
GSD27,22.94044379491283,98,105,GSD
GSD27,25.841904824949786,96,106,GSD
GSD27,31.94701479683751,96,111,GSD
GSD27,35.633832085467766,95,113,GSD
GSD27,41.47436595121756,92,117,GSD
GSD27,48.56877799570429,91,125,GSD
GSD27,53.72125402210241,90,128,GSD
GSD27,57.85213801494198,86,131,GSD
GSD27,63.39703385414237,89,131,GSD
GSD28,6.2880063103747155,26,127,GSD
GSD28,10.405311917132682,29,124,GSD
GSD28,14.982527678240865,31,123,GSD
GSD28,20.48374419351284,29,119,GSD
GSD28,25.56801007605837,31,118,GSD
GSD28,29.974845852467,33,119,GSD
GSD28,34.77952833154548,33,124,GSD
GSD28,40.77845311638703,37,128,GSD
GSD28,46.15774792195539,39,131,GSD
GSD28,51.27521020155727,43,133,GSD
GSD28,55.39455281845226,45,135,GSD
GSD29,3.834681909886545,239,162,GSD
GSD29,8.507058724673639,240,163,GSD
GSD29,13.404058489233403,242,168,GSD
GSD29,18.709631038851434,239,169,GSD
GSD29,23.549084906578162,235,171,GSD
GSD29,30.125305250206456,230,171,GSD
GSD29,35.090849198783445,229,170,GSD
GSD29,38.85312908272186,225,170,GSD
GSD29,44.67880005830461,221,172,GSD
GSD29,48.99644025753584,221,172,GSD
GSD29,55.37441573353482,218,170,GSD
GSD29,61.10679209670762,213,169,GSD
GSD29,63.94055944751941,212,169,GSD
GSD30,3.380950374631363,278,116,GSD
GSD30,8.62351488336597,277,120,GSD
GSD30,11.931251495796275,273,122,GSD
GSD30,16.666693812953152,271,124,GSD
GSD30,22.188983196489673,266,127,GSD
GSD30,28.340508299871964,262,129,GSD
GSD30,32.89928852913736,258,129,GSD
GSD30,38.3850293655982,258,130,GSD
GSD31,4.757358531324271,48,174,GSD
GSD31,8.535584103680613,51,175,GSD
GSD31,14.679304165326602,51,180,GSD
GSD31,19.302221643857916,52,183,GSD
GSD31,23.78051263520245,52,185,GSD
GSD31,26.94301496644115,50,188,GSD
GSD31,30.392134618627665,48,191,GSD
GSD31,37.31503213479597,49,195,GSD
GSD31,43.00761105724659,48,197,GSD
GSD31,50.39192925355801,47,204,GSD
GSD31,55.07505855154039,48,206,GSD
GSD32,5.136119253255245,95,178,GSD
GSD32,11.034985450513197,98,179,GSD
GSD32,13.92146876590773,100,182,GSD
GSD32,18.175617632782085,105,183,GSD
GSD32,22.90410507955136,109,184,GSD
GSD32,29.11132901021213,113,185,GSD
GSD32,32.49460909945775,115,188,GSD
GSD32,36.580844948947544,118,189,GSD
GSD32,42.31002065620577,122,191,GSD
GSD32,48.930602487103506,124,189,GSD
GSD32,54.82456310204008,126,187,GSD
GSD32,60.20919314696128,131,187,GSD
GSD32,65.07686220752807,131,188,GSD
GSD33,5.13243366600725,145,270,GSD
GSD33,9.926262642294207,146,266,GSD
GSD33,15.757559781006496,146,261,GSD
GSD33,21.774182335186126,146,255,GSD
GSD33,28.200531215261293,147,251,GSD
GSD33,33.32676797153388,150,252,GSD
GSD33,39.09998547501363,156,252,GSD
GSD33,44.73954263072787,161,252,GSD
GSD33,49.58159283358838,164,251,GSD
GSD33,56.28039775330689,170,251,GSD
GSD33,61.505693709979454,173,251,GSD
GSD34,6.383951957952791,102,162,GSD
GSD34,12.502894445752965,105,163,GSD
GSD34,18.16838227743291,109,162,GSD
GSD34,24.26944196977354,115,160,GSD
GSD34,28.063709367659374,118,161,GSD
GSD34,30.108689482445847,121,162,GSD
GSD34,34.424140841927546,122,162,GSD
GSD34,38.84983491862335,127,163,GSD
GSD34,44.60882985229287,131,162,GSD
GSD34,50.10481864017333,135,161,GSD
GSD34,53.76870498737331,138,162,GSD
GSD34,57.75807522831557,140,163,GSD
GSD34,62.51635059808427,142,163,GSD
GSD34,66.15339243273463,142,165,GSD
GSD34,71.1303060314488,144,166,GSD
GSD35,5.8035359199249985,100,181,GSD
GSD35,12.422513547841383,95,180,GSD
GSD35,16.274545514129503,93,178,GSD
GSD35,21.73802194734085,90,176,GSD
GSD35,27.380688774855432,85,175,GSD
GSD35,33.623905182179946,78,176,GSD
GSD35,38.953136142501975,74,177,GSD
GSD35,45.970840030190786,69,178,GSD
GSD35,52.142312843652746,64,179,GSD
GSD35,57.321164073203185,59,178,GSD
GSD35,63.22215558685418,56,178,GSD
GSD35,67.30089503459446,51,176,GSD
GSD35,72.09596200204093,50,173,GSD
GSD35,77.21788208662967,46,170,GSD
GSD35,83.4570157196744,44,168,GSD
GSD35,88.26853266422364,41,167,GSD
GSD35,92.69584738207533,40,164,GSD
GSD35,97.8738295088982,36,160,GSD
GSD35,102.43738989986234,32,155,GSD
GSD35,107.81264518523191,32,161,GSD
GSD35,113.3090262581075,32,162,GSD
GSD36,5.272218575896558,47,169,GSD
GSD36,10.034654261923137,49,173,GSD
GSD36,16.8610575824523,52,176,GSD
GSD36,22.044582465282087,52,177,GSD
GSD36,24.885278557769933,54,178,GSD
GSD36,29.59170949358603,56,179,GSD
GSD36,34.46252071471362,60,180,GSD
GSD36,41.06987523793161,64,177,GSD
GSD36,46.46405529269538,65,177,GSD
GSD37,5.890785567971273,182,158,GSD
GSD37,12.706236034172282,186,160,GSD
GSD37,17.708256303162422,190,161,GSD
GSD37,21.26025522337264,192,162,GSD
GSD37,25.126417286034304,195,163,GSD
GSD37,28.986944509504156,197,162,GSD
GSD37,31.585753717667306,200,164,GSD
GSD37,35.73655519759401,203,164,GSD
GSD37,39.45963474144913,207,165,GSD
GSD37,44.14897084157078,204,164,GSD
GSD38,5.972850059390876,238,106,GSD
GSD38,10.314197171336833,237,103,GSD
GSD38,13.49439127290206,235,99,GSD
GSD38,18.99852000593621,238,96,GSD
GSD38,23.83271624160919,236,92,GSD
GSD38,29.471814644074257,235,89,GSD
GSD38,36.2280458707985,234,90,GSD
GSD39,3.812241517338473,146,267,GSD
GSD39,8.485077079415829,146,271,GSD
GSD39,13.884073337928394,141,269,GSD
GSD39,18.806517767210767,139,268,GSD
GSD39,24.713644603995597,134,267,GSD
GSD39,30.05470398266045,130,266,GSD
GSD39,33.926130250808676,126,266,GSD
GSD39,38.44356304279128,122,264,GSD
GSD39,42.82065506084963,124,266,GSD
GSD40,5.257031029470824,113,261,GSD
GSD40,9.71487244053587,110,260,GSD
GSD40,12.681435957690788,108,261,GSD
GSD40,17.502138729468516,104,260,GSD
GSD40,22.847550941288794,105,256,GSD
GSD40,27.258208939136352,106,252,GSD
GSD40,30.64251591751459,106,249,GSD
GSD40,35.632300272630566,108,246,GSD
GSD40,40.18188073043469,106,246,GSD
GSD41,5.100896121368788,106,162,GSD
GSD41,10.712901423726032,104,163,GSD
GSD41,14.778843673478754,100,161,GSD
GSD41,21.063851072832716,95,161,GSD
GSD41,26.486733029049407,91,161,GSD
GSD41,30.417986615706766,89,160,GSD
GSD41,33.56098542408517,85,160,GSD
GSD41,38.0621515475374,81,158,GSD
GSD41,42.71841205752206,78,160,GSD
GSD41,48.57141972972902,72,158,GSD
GSD41,55.0970771193247,74,159,GSD
GSD42,5.341195252812023,194,206,GSD
GSD42,8.982344539164679,191,207,GSD
GSD42,13.835685509606794,188,207,GSD
GSD42,19.7050444564768,182,209,GSD
GSD42,25.847033848106552,178,204,GSD
GSD42,31.549996837565917,175,204,GSD
GSD42,36.9099286891211,172,205,GSD
GSD42,42.75538929952188,171,204,GSD
GSD43,4.102032184416734,312,174,GSD
GSD43,7.291394007902268,315,175,GSD
GSD43,13.063116739933346,318,172,GSD
GSD43,18.038269545088465,321,170,GSD
GSD43,22.088629838668425,326,169,GSD
GSD43,26.507266784104786,325,170,GSD
GSD43,33.79411729360366,323,171,GSD
GSD44,3.7109034406662413,42,152,GSD
GSD44,11.237348716432148,41,157,GSD
GSD44,17.355257746845517,43,161,GSD
GSD44,21.188976013859502,43,163,GSD
GSD44,24.665802588038567,44,165,GSD
GSD44,28.062792999384794,46,168,GSD
GSD44,33.16331439830772,47,171,GSD
GSD44,38.2441306304683,47,172,GSD
GSD45,4.7462103730816505,71,158,GSD
GSD45,9.010464156634256,74,158,GSD
GSD45,13.926008050590317,78,159,GSD
GSD45,17.902357423347347,81,159,GSD
GSD45,23.600184100931127,84,159,GSD
GSD45,28.25294085876333,86,160,GSD
GSD45,32.92804958469305,86,161,GSD
GSD46,5.633878517533698,224,88,GSD
GSD46,10.139765691212029,226,89,GSD
GSD46,14.875177189609829,231,89,GSD
GSD46,17.832718488669926,234,89,GSD
GSD46,22.322567136868344,236,91,GSD
GSD46,26.01095715152117,236,94,GSD
GSD46,31.53783982677956,237,95,GSD
