traj_id,time,locx,locy,route_id,duration,distance,speed,acc,cos,mode,GG,GSD,TG
1,0,76,38,1,0.0,0.0,0.0,0.0,0.0,2,0,0,0
1,10,71,46,1,10.0,9.433981132056603,0.9433981132056604,0.09433981132056604,0.12286018144729256,2,0,0,0
1,20,69,56,1,10.0,13.892443989449804,1.3892443989449803,0.04458462857393199,0.5427583827659296,2,0,0,0
1,30,71,69,1,10.0,19.131126469708992,1.9131126469708992,0.052386824802591894,0.8260417100085669,2,1,1,0
1,40,71,76,1,10.0,20.37154878746336,2.0371548787463363,0.012404223177543704,0.7447351850090463,2,0,1,0
1,50,69,77,1,10.0,20.493901531919196,2.0493901531919194,0.0012235274445583145,-0.27074557691828405,2,0,0,0
1,60,70,77,1,10.0,20.518284528683193,2.0518284528683193,0.00024382996763998576,0.0,2,0,0,0
2,0,91,4,7,0.0,0.0,0.0,-2.0518284528683193,0.0,1,0,0,0
2,10,74,8,7,10.0,17.46424919657298,1.7464249196572978,0.17464249196572978,-0.8554553567089355,1,1,0,0
2,20,71,23,7,10.0,23.2163735324878,2.32163735324878,0.05752124335914821,0.25845369515499167,1,1,0,0
2,30,83,41,7,10.0,31.73326330524486,3.1733263305244863,0.08516889772757064,0.9082092078962924,1,1,0,0
2,40,83,51,7,10.0,33.27160951922825,3.327160951922825,0.015383462139833881,0.6071186580612737,1,1,0,0
2,50,89,68,7,10.0,37.841775856849004,3.7841775856849003,0.04570166337620751,0.8923260214770482,1,1,0,0
2,60,69,66,7,10.0,42.8485705712571,4.28485705712571,0.050067947144080985,-0.7093622879516722,1,0,0,0
2,70,56,68,7,10.0,44.82186966202994,4.482186966202994,0.019732990907728353,-0.4359557670717419,1,1,0,0
2,80,60,87,7,10.0,48.84669896727925,4.884669896727925,0.04024829305249318,0.0,1,0,0,0
3,0,6,60,16,0.0,0.0,0.0,-4.884669896727925,0.0,1,0,0,0
3,10,25,61,16,10.0,19.026297590440446,1.9026297590440446,0.19026297590440447,0.5691109988800797,1,1,1,0
3,20,29,47,16,10.0,23.958297101421877,2.3958297101421877,0.04931999510981431,-0.5838425569906708,1,1,1,0
3,30,34,43,16,10.0,24.79919353527449,2.479919353527449,0.008408964338526115,0.012929953508496251,1,1,1,1
3,40,46,56,16,10.0,30.463092423455635,3.0463092423455636,0.05663898888181147,0.9835061489629455,1,1,0,0
3,50,48,36,16,10.0,36.49657518178932,3.6496575181789317,0.06033482758333682,-0.4194464463346723,1,1,0,0
3,60,56,33,16,10.0,37.48332962798263,3.748332962798263,0.00986754446193312,0.6502091535862135,1,0,0,0
3,70,58,32,16,10.0,37.54996671103717,3.7549966711037173,0.0006663708305454374,0.5832067830913988,1,1,0,0
3,80,57,30,16,10.0,37.61648574760805,3.7616485747608053,0.000665190365708801,-0.8078761597534099,1,0,0,0
3,90,60,31,16,10.0,37.749172176353746,3.7749172176353745,0.0013268642874569192,0.0,1,1,0,0
4,0,17,57,5,0.0,0.0,0.0,-3.7749172176353745,0.0,2,0,0,0
4,10,30,56,5,10.0,13.038404810405298,1.3038404810405297,0.13038404810405296,0.5215897243924719,2,1,1,0
4,20,39,54,5,10.0,15.968719422671311,1.5968719422671311,0.02930314612266014,0.516641894215768,2,1,1,0
4,30,41,43,5,10.0,19.493588689617926,1.9493588689617927,0.035248692669466154,-0.4281542579990834,2,1,1,1
