ID,time,GG,GSD,TG,TS,AP,RS,PS,duration,distance,speed,acc,cos,mode,TYPE
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 19:34,1,1,1,0,0,1,1,10,16.95869747,101.7521848,-11.1048913,-0.929768093,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 20:43,0,0,1,0,0,1,0,20,43.01346368,129.040391,-5.27333076,-0.893605924,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 20:13,1,0,1,0,0,1,1,22,60.00726246,163.6561703,-2.8066079,-0.993615396,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 17:57,1,1,1,0,0,0,0,11,18.37534074,100.2291313,0,1,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 18:08,0,0,1,0,0,0,0,11,18.37534074,100.2291313,0,-0.808856181,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 19:24,0,0,1,0,0,0,0,76,269.5480572,212.8010978,1.481210086,-0.496461219,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 19:51,0,1,1,0,0,1,1,15,56.35038603,225.4015441,3.549508747,-0.713070811,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 20:54,1,1,1,0,0,0,1,11,34.04140472,185.6803894,5.149090764,-0.972883183,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 20:23,1,0,1,0,0,0,0,10,39.08450104,234.5070062,7.08508359,-0.949697746,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 19:36,1,1,1,0,0,0,0,2,5.738630429,172.1589129,35.20336405,-0.989510818,3,TG
ffc13fc5dafb394083292f8681830c1218e271a8,2021/7/13 20:56,0,0,1,1,0,1,0,2,11.68778795,350.6336386,82.4766246,-1,3,TG
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 3:47,0,0,1,1,0,1,1,11,9.577242533,52.23950472,-8.660586653,-0.959311045,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 4:26,0,0,1,1,0,1,1,10,1.618640486,9.711842913,-6.367802348,-0.981961368,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 2:52,0,0,1,1,0,0,0,11,14.80749773,80.76816942,-6.095833725,-0.77961275,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 3:26,0,0,1,1,0,0,0,15,8.457254096,33.82901638,-5.171881128,-0.987290039,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 4:16,0,0,1,1,0,0,0,10,12.2316444,73.38986639,-4.618226651,-0.53007989,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 1:10,0,0,1,1,0,1,1,10,0.069247226,0.415483357,-0.421528547,0.732906519,0,Static
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 1:46,0,0,1,1,0,1,1,20,0,0,-0.030769949,1,0,Static
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 0:56,0,0,1,1,0,1,1,4,0.308717922,4.630768829,0,1,0,Static
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 1:00,0,0,1,1,0,1,1,4,0.308717922,4.630768829,0,0.722051287,0,Static
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 1:26,0,0,1,1,0,1,1,16,0.164106397,0.61539899,0.012494727,1,0,Static
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 3:56,0,0,1,1,0,0,0,9,8.009238541,53.39492361,0.128379877,-0.987093493,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 3:05,0,0,1,1,0,0,0,13,21.76735691,100.4647242,1.515119598,-0.997128916,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 2:37,0,1,1,1,0,0,0,30,51.12060368,102.2412074,1.793624701,-0.841704832,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 3:11,0,0,1,1,0,0,0,6,11.14072333,111.4072333,1.823751517,-0.976974457,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 2:07,0,1,1,1,0,0,0,21,16.95136323,48.43246638,2.306307923,-0.94047273,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 4:06,0,0,1,1,0,0,0,10,19.92868881,119.5721329,6.617720929,-0.994559387,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 4:37,0,1,1,1,0,0,0,11,20.8581714,113.771844,9.460000099,-1,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 3:36,0,1,0,1,0,0,0,10,24.58432632,147.5059579,11.36769415,-0.989334568,4,TS
ffc0583af7b68b29aee5fcad0d5df232c0b3c702,2021/7/13 2:41,0,0,1,0,0,0,0,4,9.854822695,147.8223404,11.39528325,-0.832849609,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 11:56,0,0,1,1,0,1,1,25,19.70014791,47.28035499,-3.363635832,-0.821534551,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 11:25,0,0,1,1,0,0,0,15,9.952969673,39.81187869,-2.294932637,-0.993891087,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 11:10,0,0,1,1,0,0,0,33,40.82972753,74.23586824,-1.949679908,-0.952101465,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 9:51,0,0,1,1,0,0,0,32,31.6015573,59.25291994,-1.128562403,-0.996953614,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 10:16,0,0,1,1,0,0,0,21,37.17839745,106.2239927,-0.795725471,-0.913560892,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 14:00,1,1,1,0,0,0,1,124,35.57226142,17.21238456,-0.242483633,-1,1,GG
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 6:30,0,1,0,0,0,0,0,29,19.61514477,40.58305813,-0.097809717,-0.611641632,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 5:11,0,1,0,1,0,0,0,50,36.18294992,43.41953991,0,1,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 6:01,0,0,0,1,0,1,1,50,36.18294992,43.41953991,0,-0.981372998,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 9:19,0,0,1,1,0,1,1,169,268.6168158,95.36691685,0.324164844,-0.449482668,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 10:29,0,0,1,1,0,0,0,13,26.43628748,122.0136345,1.214587831,-0.976233728,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 10:37,0,0,1,1,0,0,0,8,18.47670736,138.5753052,2.070208838,-0.999512853,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 11:31,0,0,1,1,0,1,0,6,13.13712508,131.3712508,15.25989535,-0.99235462,4,TS
ffbbd1543f753bcf4add7300f9a447a2c6bbe31d,2021/7/13 9:55,0,0,0,1,0,0,0,4,8.195615175,122.9342276,15.92032692,-0.90901492,4,TS
ffa1ed9d5d7c424b32129774527a7e9014a0f9fb,2021/7/13 15:00,1,1,0,0,0,0,0,15,14.48938725,57.957549,-1.934049237,-0.999729899,1,GG
ffa1ed9d5d7c424b32129774527a7e9014a0f9fb,2021/7/13 14:29,1,1,0,0,0,0,0,12,13.16337094,65.81685469,-1.69960183,-0.703065335,1,GG
ffa1ed9d5d7c424b32129774527a7e9014a0f9fb,2021/7/13 13:18,1,1,0,0,0,0,0,12,16.52687774,82.63438872,-1.224706118,-0.987548309,1,GG
